Model,Preprocessing,Augmentations,Postprocessing,Jaccard,F1,Recall,Precision,Acc,F2,HD,MFPS
ResUNet++,StenUNet,StenUNet,NaN,0.2516,0.3572,0.4339,0.3720,0.9851,0.3938,3.8237,168.528
ResUNet++ (PostProc),StenUNet,StenUNet,StenUNet,0.2519,0.3674,0.4334,0.3800,0.9851,0.3936,3.8279,
DeepLabV3ResNet101,StenUNet,StenUNet,NaN,0.4335,0.5758,0.6052,0.6404,0.9920,0.5824,3.5716,96.739
DeepLabV3ResNet101 (PostProc),StenUNet,StenUNet,StenUNet,0.4337,0.5759,0.6049,0.6458,0.9921,0.5822,3.5748,
Attention UNet,StenUNet,StenUNet,NaN,0.4213,0.5617,0.6338,0.5877,0.9912,0.5903,3.4762,233.8
Attention UNet (PostProc),StenUNet,StenUNet,StenUNet,0.4218,0.5616,0.6329,0.5917,0.9913,0.5898,3.4793,
YOLOv8x-seg,StenUNet,YOLO,NaN,0.3234,0.4244,0.4315,0.7354,0.9914,0.4205,4.0100,44.643
YOLOv8x-seg (PostProc),StenUNet,YOLO,StenUNet,0.3163,0.4183,0.4124,0.7452,0.9915,0.4075,3.9999,
TransUNet,StenUNet,StenUNet,NaN,0.0433,0.0741,0.1014,0.5846,0.9839,0.0827,4.5840,140.153
TransUNet (PostProc),StenUNet,StenUNet,StenUNet,0.0430,0.0430,0.1004,0.6113,0.9839,0.0819,4.5877,